City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vila Franca Do Campo,PT,72.01,light rain,37.7167,-25.4333,Pestana Bahia Praia
2,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
8,Pangai,TO,77.49,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
12,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
13,Araruama,BR,73.35,light rain,-22.8728,-42.3431,Apartamento Quality
15,Wewak,PG,78.62,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
17,Mizdah,LY,78.21,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
29,Jalu,LY,82.9,clear sky,29.0331,21.5482,صاحبة الفخامة
31,Chateaubelair,VC,81.39,clear sky,13.2833,-61.25,Richmond Vale Diving & Hiking Center
35,Hambantota,LK,78.06,overcast clouds,6.1241,81.1185,Bungalow 63
41,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
51,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
53,Atuona,PF,76.91,overcast clouds,-9.8,-139.0333,Villa Enata
55,Rikitea,PF,72.48,overcast clouds,-23.1203,-134.9692,People ThankYou
61,Arraial Do Cabo,BR,73.26,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
62,Touros,BR,76.55,clear sky,-5.1989,-35.4608,INN NEW HORIZON
63,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
64,Bay Roberts,CA,76.66,broken clouds,47.5999,-53.2648,Stonewall Inn
66,Los Llanos De Aridane,ES,74.12,overcast clouds,28.6585,-17.9182,Valle Aridane
70,Pawayan,IN,79.97,broken clouds,28.0667,80.1,SBM TOILET
71,Cairns,AU,71.55,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
72,Ugoofaaru,MV,80.69,overcast clouds,5.6667,73.0,Ungoofaaru Inn
75,Sampit,ID,70.68,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
77,Izberbash,RU,77.09,overcast clouds,42.5696,47.8645,Ramina
78,Butaritari,KI,82.15,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
80,Tautira,PF,75.11,overcast clouds,-17.7333,-149.15,Pension Oaoa
81,Vaini,TO,76.62,broken clouds,-21.2,-175.2,Keleti Beach Resort
83,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
85,Sola,VU,79.21,few clouds,-13.8833,167.55,Leumerus Bungalows
89,Salalah,OM,76.3,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
92,Isangel,VU,78.01,clear sky,-19.55,169.2667,Tanna Lodge
93,Namatanai,PG,78.76,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
96,Parrita,CR,81.99,overcast clouds,9.5201,-84.3225,Beso del Viento
97,Alta Floresta,BR,83.93,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
100,Sao Filipe,CV,79.79,light rain,14.8961,-24.4956,Hotel Xaguate
103,Santa Rosa,PH,76.98,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
110,Thompson,CA,75.6,overcast clouds,55.7435,-97.8558,Burntwood Hotel
112,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
120,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
124,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
126,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
129,Kaifeng,CN,82.45,overcast clouds,34.7911,114.3483,Pullman Kaifeng Jianye
130,Kindu,CD,74.7,overcast clouds,-2.95,25.95,Résidence Okanda
133,Faanui,PF,76.98,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Keti Bandar,PK,81.97,overcast clouds,24.1447,67.4497,Haji laloo memon house
136,Tura,IN,74.75,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
137,Zlitan,LY,81.18,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
141,Tual,ID,80.08,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
147,Kavaratti,IN,80.55,overcast clouds,10.5669,72.642,Green leaf
154,Sarlat-La-Caneda,FR,71.24,clear sky,44.889,1.2166,Hotel Plaza Madeleine À Sarlat
159,Surt,LY,81.37,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
162,Lishui,CN,73.92,few clouds,28.4604,119.9103,Bayi Hotel
163,Montecristi,EC,73.22,overcast clouds,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
166,Agde,FR,78.87,clear sky,43.3108,3.4758,CAPAO Beach Hôtel
167,Bandarbeyla,SO,75.61,clear sky,9.4942,50.8122,JABIR HOTEL
173,Tripoli,LY,81.73,clear sky,32.8752,13.1875,Al Waddan Hotel
174,Vao,NC,72.25,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
175,Kavieng,PG,81.27,light rain,-2.5744,150.7967,Nusa Island Retreat
177,Lumut,MY,78.17,broken clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
180,Labuhan,ID,74.79,clear sky,-6.8844,112.2051,DoubleFAG
188,Mabaruma,GY,82.58,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
189,Basoko,CD,74.17,overcast clouds,1.2391,23.616,Jackyna Hotel
194,Camapua,BR,81.37,overcast clouds,-19.5314,-54.0439,Comercial Estrela
196,Sorong,ID,77.18,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
197,Bang Saphan,TH,76.42,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
198,Kupang,ID,74.14,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
199,Kirakira,SB,79.68,overcast clouds,-10.4544,161.9205,SanBiz Lodge
200,Cap-Aux-Meules,CA,72.27,broken clouds,47.3821,-61.8597,Auberge Madeli
207,Panormos,GR,79.02,clear sky,35.4182,24.6909,Kirki Village Ξενοδοχείο
208,Lorengau,PG,81.12,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
209,Waingapu,ID,72.68,clear sky,-9.6567,120.2641,Pondok Wisata Elim
210,Bengkulu,ID,74.46,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
214,Vaitape,PF,76.95,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
215,Ribeira Grande,PT,74.68,light rain,38.5167,-28.7,Quinta da Meia Eira
216,Subtanjalla,PE,75.04,clear sky,-14.0189,-75.7581,Hotel Las Dunas
224,Kota Tinggi,MY,82.44,broken clouds,1.7381,103.8999,Canopy Tribe
229,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
230,Banda Aceh,ID,78.89,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
231,North Bend,US,80.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
