City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chuy,UY,-33.6971,-53.4616,48.92,83,6,9.28,clear sky
1,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,88,29,6.69,light rain
2,Ponta Do Sol,PT,32.6667,-17.1,72.72,81,1,3.42,clear sky
3,Port Alfred,ZA,-33.5906,26.891,62.19,97,100,5.01,light rain
4,Busselton,AU,-33.65,115.3333,57.33,75,100,21.47,overcast clouds
5,Roma,US,43.2128,-75.4557,89.82,60,20,8.05,few clouds
6,East London,ZA,-33.0153,27.9116,66.92,87,100,23.2,light rain
7,Wawa,NG,9.9022,4.4192,74.77,85,100,5.97,overcast clouds
8,Pangai,TO,-19.8,-174.35,77.49,79,41,15.61,scattered clouds
9,Sribne,UA,50.6638,32.9187,68.04,82,100,8.79,overcast clouds
10,Ilulissat,GL,69.2167,-51.1,46.42,81,100,4.61,overcast clouds
11,Yellowknife,CA,62.456,-114.3525,60.93,78,100,8.5,overcast clouds
12,Kapaa,US,22.0752,-159.319,84.18,77,100,11.5,overcast clouds
13,Araruama,BR,-22.8728,-42.3431,73.35,90,87,5.84,light rain
14,Mataura,NZ,-46.1927,168.8643,33.48,85,10,6.38,clear sky
15,Wewak,PG,-3.5534,143.6268,78.62,86,92,7.67,overcast clouds
16,Muscat,OM,23.6139,58.5922,89.31,66,60,4.83,broken clouds
17,Mizdah,LY,31.4451,12.9801,78.21,38,0,9.22,clear sky
18,Port Elizabeth,ZA,-33.918,25.5701,61.32,99,99,1.01,overcast clouds
19,Esperance,AU,-33.8667,121.9,48.76,84,0,12.1,clear sky
20,Yar-Sale,RU,66.8333,70.8333,66.13,75,0,10.47,clear sky
21,Chokurdakh,RU,70.6333,147.9167,47.93,51,100,13.87,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,39.31,75,20,10.36,few clouds
23,San Antonio,US,29.4241,-98.4936,101.98,36,40,18.41,scattered clouds
24,Boa Vista,BR,2.8197,-60.6733,93.18,40,20,9.22,few clouds
