City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Davila,PH,2022-08-06 16:27:12,18.4726,120.5763,82.11,81,47,9.8
1,Ribeira Grande,PT,2022-08-06 16:27:12,38.5167,-28.7,77.4,78,20,11.5
2,Muravlenko,RU,2022-08-06 16:27:13,63.7898,74.523,63.09,66,58,9.6
3,Rameshki,RU,2022-08-06 16:27:13,57.3439,36.0453,76.35,63,69,5.48
4,Lagoa,PT,2022-08-06 16:27:13,39.05,-27.9833,75.65,80,28,12.15
5,Broome,US,2022-08-06 16:27:14,42.2506,-75.833,88.09,66,20,11.5
6,Castro,BR,2022-08-06 16:27:14,-24.7911,-50.0119,63.59,71,98,6.76
7,Ushuaia,AR,2022-08-06 16:27:14,-54.8,-68.3,37.02,80,0,1.14
8,Barrow,US,2022-08-06 16:27:15,71.2906,-156.7887,35.22,88,100,17.2
9,Tuatapere,NZ,2022-08-06 16:27:15,-46.1333,167.6833,43.54,97,75,12.19
10,Carnarvon,AU,2022-08-06 16:27:15,-24.8667,113.6333,64.26,55,0,14.5
11,Atuona,PF,2022-08-06 16:27:15,-9.8,-139.0333,76.77,77,60,18.7
12,Bambous Virieux,MU,2022-08-06 16:22:16,-20.3428,57.7575,70.05,83,40,13.8
13,Guerrero Negro,MX,2022-08-06 16:27:16,27.9769,-114.0611,74.34,77,96,11.41
14,Qaanaaq,GL,2022-08-06 16:27:16,77.484,-69.3632,42.17,57,100,2.91
15,Butaritari,KI,2022-08-06 16:27:16,3.0707,172.7902,81.68,78,89,14.7
16,Zaysan,KZ,2022-08-06 16:27:17,47.4667,84.8667,70.59,38,83,8.3
17,Katsuura,JP,2022-08-06 16:27:17,35.1333,140.3,75.47,85,69,5.08
18,Asau,RO,2022-08-06 16:26:07,46.4333,26.4,83.32,60,100,2.68
19,Vaini,TO,2022-08-06 16:27:18,-21.2,-175.2,71.76,88,40,10.36
20,Los Llanos De Aridane,ES,2022-08-06 16:27:18,28.6585,-17.9182,74.95,65,20,13.8
